歌名,歌手,语言,,
天使的翅膀,安琥,中文,,"https://www.bilibili.com/video/BV1ow411R7WN?p=8
https://www.bilibili.com/video/BV1H3411675p"
匿名的朋友,蔡方萌,中文,,
左边,杨丞琳,中文,,
雨爱,杨丞琳,中文,,"https://www.bilibili.com/video/BV14u411o7ZS
https://www.bilibili.com/video/BV11L411b7kr"
暧昧,杨丞琳,中文,,https://www.bilibili.com/video/BV16Q4y1i7pp
傻孩子,阎韦伶,中文,,
还可以爱吗,黄霄云,中文,https://www.bilibili.com/video/BV1mW4y1B7VE,
追,陈壹千,中文,,https://www.bilibili.com/video/BV1oV411W7B7
I love U,王若琳,英文,"https://www.bilibili.com/video/BV1bW4y1J7Do
https://www.bilibili.com/video/BV1St4y157uZ?p=4","https://www.bilibili.com/video/BV1NU4y1G7RS
https://www.bilibili.com/video/BV1SF411b7th
https://www.bilibili.com/video/BV1rD4y1c7dr"
有你的快乐,王若琳,中文,,
迷宫,王若琳,中文,,
亲密爱人,王若琳,中文,,
泡沫,邓紫棋,中文,"https://www.bilibili.com/video/BV1Td4y1Z7PC
https://www.bilibili.com/video/BV19B4y1a7QL?p=10",https://www.bilibili.com/video/BV13b4y1U7h1
你不是真正的快乐,邓紫棋,中文,,
你,林依晨,中文,"https://www.bilibili.com/video/BV16Y4y1N7CX
https://www.bilibili.com/video/BV1uP411G7nm
https://www.bilibili.com/video/BV1Ge4y1R7U9?p=1",
爱有双重魔力,BY2,中文,,
不够成熟,BY2,中文,,
你并不懂我,BY2,中文,,
我知道,BY2,中文,,
爱上你,BY2,中文,,
勇敢,BY2,中文,,
不哭了,BY2,中文,https://www.bilibili.com/video/BV1H14y1h71N,
不是故意,BY2,中文,,
一样爱着你,BY2,中文,https://www.bilibili.com/video/BV1rN4y1N76t,
曾经的约定,BY2,中文,,
红装,徐良&阿悄,中文,,https://www.bilibili.com/video/BV1gf4y1N79q?p=1
和平分手,徐良&小暖,中文,,https://www.bilibili.com/video/BV1gf4y1N79q?p=2
你若成风,许嵩&莫诗旎,中文,,"https://www.bilibili.com/video/BV1w34y1j7M7/?t=4336
https://www.bilibili.com/video/BV13q4y1Z7Kt
https://www.bilibili.com/video/BV1Ab4y1H7oL"
有点甜,汪苏泷&BY2,中文,,"https://www.bilibili.com/video/BV1NG4y1Z7Sr
https://www.bilibili.com/video/BV1gL4y1H7NP"
雪落下的声音,陆虎,中文,https://www.bilibili.com/video/BV1xd4y1z7Vj,
时间煮雨,郁可唯,中文,"https://www.bilibili.com/video/BV1hg411h7ZR
https://www.bilibili.com/video/BV12d4y1X7RW",https://www.bilibili.com/video/BV1wr4y1r7cX
知否知否,郁可唯&胡夏,中文,https://www.bilibili.com/video/BV1Bt4y1P7Pc,
问明月,郁可唯,中文,https://www.bilibili.com/video/BV1td4y167Mv,
可惜不是你,梁静茹,中文,,"https://www.bilibili.com/video/BV1Dq4y1C7QE
https://www.bilibili.com/video/BV1kf4y1H78V"
暖暖,梁静茹,中文,,https://www.bilibili.com/video/BV1e44y1b7Fn
慢冷,梁静茹,中文,"https://www.bilibili.com/video/BV1JW4y1i7LZ
https://www.bilibili.com/video/BV1mr4y1j7A3?p=2",
三寸日光,梁静茹,中文,"https://www.bilibili.com/video/BV12S4y177Si?p=8
https://www.bilibili.com/video/BV1Ad4y1r78D
https://www.bilibili.com/video/BV13a411V7jm",https://www.bilibili.com/video/BV1Hb4y1W7Dw
情歌,梁静茹,中文,,https://www.bilibili.com/video/BV1nu411B7Wc
